TxID, Size (bytes), Value (coins), ArrivalTime (ms)
1,504.0,51.32625,97
2,337.0,49.646545,545
3,631.0,47.35355,602
4,736.0,52.394928,605
5,598.0,59.357864,618
6,572.0,59.69943,842
7,354.0,28.097294,928
8,618.0,46.423134,1261
9,464.0,38.23501,1271
10,560.0,50.30959,1290
11,581.0,61.731514,1315
12,369.0,64.571526,1318
13,707.0,39.359753,1335
14,545.0,58.791725,1353
15,582.0,46.211006,1399
16,561.0,37.47676,1451
17,540.0,36.280773,1572
18,414.0,44.976555,1953
19,576.0,32.155487,2169
20,599.0,55.06836,2323
21,588.0,61.175293,2613
22,661.0,45.32679,2780
23,555.0,51.194378,2852
24,607.0,53.968086,3082
25,461.0,43.46277,3112
26,537.0,40.34964,3521
27,611.0,33.844864,3681
28,457.0,44.459408,4209
29,393.0,55.67961,4282
30,716.0,53.880733,4544
31,783.0,58.61799,4672
32,711.0,51.92715,4732
33,605.0,47.603245,4806
34,488.0,52.335884,4871
35,492.0,47.493343,4890
36,565.0,35.36561,5038
37,626.0,60.56084,5073
38,626.0,61.180546,5142
39,633.0,36.923096,5254
40,512.0,62.690628,5439
41,631.0,35.303406,5698
42,544.0,38.999214,5774
43,587.0,61.872124,6174
44,457.0,70.32689,6199
45,456.0,65.60335,6267
46,448.0,37.71952,6350
47,553.0,64.95414,6378
48,600.0,61.03071,6452
49,486.0,48.71542,6491
50,615.0,36.91423,6636
51,621.0,41.029095,6727
52,544.0,43.30062,6783
53,540.0,63.228878,6837
54,591.0,61.13765,7396
55,653.0,46.22646,7450
56,583.0,49.209534,7522
57,560.0,46.991978,7668
58,463.0,51.98196,7819
59,455.0,69.51594,7827
60,784.0,41.72159,7858
61,575.0,58.87709,8062
62,580.0,59.731873,8155
63,492.0,57.86547,8257
64,543.0,43.383114,8398
65,609.0,42.98861,8653
66,398.0,42.060455,8751
67,446.0,24.909325,9229
68,520.0,48.064495,9302
69,652.0,41.238285,9440
70,452.0,50.569664,9469
71,592.0,56.06558,9574
72,655.0,41.02906,9638
73,666.0,44.946373,9905
74,472.0,67.0849,10155
75,564.0,71.46079,10167
76,576.0,57.881134,10223
77,566.0,69.894966,10345
78,409.0,45.345005,10437
79,656.0,44.49328,10594
80,511.0,59.063065,10610
81,448.0,46.594765,10961
82,640.0,57.602585,11174
83,561.0,76.77839,11482
84,577.0,43.55704,11677
85,539.0,46.14676,11936
86,597.0,52.005245,11990
87,513.0,55.90051,12111
88,568.0,25.808098,12501
89,635.0,34.355686,12563
90,590.0,63.48285,12849
91,588.0,76.28458,13267
92,544.0,30.498207,13416
93,422.0,56.888405,13520
94,503.0,53.139217,13696
95,541.0,60.113266,13874
96,647.0,35.428703,14022
97,486.0,47.568142,14122
98,513.0,63.492844,14146
99,610.0,48.17569,14166
100,512.0,56.596893,14345
