TxID, Size (bytes), Value (coins), ArrivalTime (ms)
1,609.0,52.96213,57
2,570.0,39.63332,118
3,638.0,37.231087,133
4,600.0,45.533676,139
5,505.0,44.549114,211
6,578.0,39.436172,220
7,798.0,48.624702,287
8,611.0,50.38561,633
9,690.0,50.80688,726
10,718.0,58.970985,820
11,532.0,64.86958,966
12,410.0,41.12576,994
13,445.0,62.187088,1155
14,689.0,62.862656,1270
15,795.0,59.255653,1395
16,586.0,65.84777,1678
17,584.0,62.016235,1749
18,765.0,64.17303,2136
19,433.0,32.818214,2207
20,514.0,49.86026,2242
21,438.0,64.76778,2517
22,570.0,38.2241,2688
23,557.0,42.8691,2785
24,539.0,21.362717,3233
25,578.0,59.205936,3290
26,632.0,72.76073,3293
27,635.0,54.91595,3306
28,389.0,51.620525,3530
29,532.0,23.50412,3616
30,468.0,57.59726,3949
31,562.0,37.689117,3959
32,650.0,50.063084,3978
33,673.0,52.770096,4003
34,477.0,25.530731,4006
35,628.0,69.00504,4023
36,530.0,48.163033,4041
37,462.0,52.933155,4087
38,453.0,50.207245,4139
39,520.0,47.534424,4260
40,421.0,31.276588,4641
41,599.0,52.098076,4857
42,646.0,55.11574,5011
43,523.0,53.68924,5301
44,569.0,63.05643,5468
45,590.0,49.414734,5540
46,509.0,56.128815,5770
47,484.0,37.312992,5800
48,434.0,47.102062,6209
49,516.0,56.641197,6369
50,603.0,36.859093,6897
51,590.0,28.549072,6970
52,626.0,70.1301,7232
53,574.0,78.804886,7360
54,541.0,69.531006,7420
55,578.0,55.909836,7494
56,540.0,40.754486,7559
57,446.0,41.35757,7578
58,641.0,50.716415,7726
59,646.0,58.561768,7761
60,458.0,58.63076,7830
61,658.0,59.50389,7942
62,445.0,43.869526,8127
63,474.0,59.241474,8386
64,652.0,47.9851,8462
65,717.0,53.58888,8862
66,681.0,36.83625,8887
67,464.0,36.66901,8955
68,676.0,35.652077,9038
69,645.0,49.237568,9066
70,549.0,55.21882,9140
71,458.0,40.508766,9179
72,490.0,57.140297,9324
73,507.0,57.932133,9415
74,662.0,47.9584,9471
75,646.0,47.52223,9525
76,530.0,54.027462,10084
77,553.0,62.069492,10138
78,536.0,53.052692,10210
79,575.0,50.06475,10356
80,711.0,37.59478,10507
81,495.0,36.502575,10515
82,628.0,78.902054,10546
83,635.0,51.99344,10750
84,620.0,52.68985,10843
85,508.0,41.36101,10945
86,505.0,47.876038,11086
87,498.0,56.394394,11341
88,364.0,29.26803,11439
89,544.0,35.404,11917
90,491.0,44.9159,11990
91,564.0,61.91233,12128
92,606.0,36.121273,12157
93,490.0,54.25614,12262
94,520.0,62.303413,12326
95,692.0,63.675476,12593
96,726.0,38.75448,12843
97,621.0,50.60985,12855
98,714.0,52.14503,12911
99,523.0,50.829678,13033
100,517.0,30.625208,13125
